date,hour,time
27,0,37
27,1,0
27,2,0
27,3,0
27,4,0
27,5,0
27,6,0
27,7,0
27,8,2
27,9,33
27,10,23
27,11,51
27,12,3
27,13,15
27,14,10
27,15,10
27,16,17
27,17,0
27,18,3
27,19,36
27,20,2
27,21,0
27,22,43
27,23,22
28,0,20
28,1,0
28,2,0
28,3,0
28,4,0
28,5,0
28,6,0
28,7,0
28,8,16
28,9,21
28,10,11
28,11,8
28,12,0
28,13,26
28,14,39
28,15,0
28,16,13
28,17,2
28,18,4
28,19,23
28,20,49
28,21,52
28,22,54
28,23,0
29,0,0
29,1,0
29,2,4
29,3,0
29,4,35
29,5,0
29,6,0
29,7,0
29,8,0
29,9,1
29,10,0
29,11,1
29,12,17
29,13,4
29,14,27
29,15,11
29,16,0
29,17,0
29,18,0
29,19,0
29,20,20
29,21,2
29,22,34
29,23,19